UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), _M_TCT,  _M_ORIENT_ERROR, _M_POS_ERROR, NUM_EXIT_ERRORS, _M_TCT_High_T_T,  _M_ORIENT_ERROR_High_T_T, _M_POS_ERROR_High_T_T,NUM_EXIT_ERRORS_High_T_T,  _M_ORIENT_ERROR_IN_High_T_T, _M_POS_ERROR_IN_High_T_T, _M_TCT_High_T_L,  _M_ORIENT_ERROR_High_T_L, _M_POS_ERROR_High_T_L,  NUM_EXIT_ERRORS_High_T_L,_M_ORIENT_ERROR_IN_High_T_L, _M_POS_ERROR_IN_High_T_L , _M_TCT_High_L_T, _M_ORIENT_ERROR_High_L_T, _M_POS_ERROR_High_L_T, NUM_EXIT_ERRORS__High_L_T, _M_ORIENT_ERROR_IN_High_L_T, _M_POS_ERROR_IN_High_L_T, _M_TCT_High_L_L, _M_ORIENT_ERROR_High_L_L, _M_POS_ERROR_High_L_L, NUM_EXIT_ERRORS_High_L_L, _M_ORIENT_ERROR_IN_High_L_L, _M_POS_ERROR_IN_High_L_L     , _M_TCT_Med_T_T, _M_ORIENT_ERROR_Med_T_T, _M_POS_ERROR_Med_T_T, NUM_EXIT_ERRORS_Med_T_T, _M_ORIENT_ERROR_IN_Med_T_T, _M_POS_ERROR_IN_Med_T_T, _M_TCT_Med_T_L, _M_ORIENT_ERROR_Med_T_L, _M_POS_ERROR_Med_T_L, NUM_EXIT_ERRORS_Med_T_L, _M_ORIENT_ERROR_IN_Med_T_L, _M_POS_ERROR_IN_Med_T_L, _M_TCT_Med_L_T, _M_ORIENT_ERROR_Med_L_T, _M_POS_ERROR_Med_L_T, NUM_EXIT_ERRORS_Med_L_T,_M_ORIENT_ERROR_IN_Med_L_T, _M_POS_ERROR_IN_Med_L_T, _M_TCT_Med_L_L, _M_ORIENT_ERROR_Med_L_L, _M_POS_ERROR_Med_L_L, NUM_EXIT_ERRORS_Med_L_T,_M_ORIENT_ERROR_IN_Med_L_L, _M_POS_ERROR_IN_Med_L_L, _M_TCT_Low_T_T, _M_ORIENT_ERROR_Low_T_T, _M_POS_ERROR_Low_T_T, NUM_EXIT_ERRORS_LOW_T_T,_M_ORIENT_ERROR_IN_Low_T_T, _M_POS_ERROR_IN_Low_T_T, _M_TCT_Low_T_L, _M_ORIENT_ERROR_Low_T_L, _M_POS_ERROR_Low_T_L, NUM_EXIT_ERRORS_Low_T_L,_M_ORIENT_ERROR_IN_Low_T_L, _M_POS_ERROR_IN_Low_T_L, _M_TCT_Low_L_T, _M_ORIENT_ERROR_Low_L_T, _M_POS_ERROR_Low_L_T, NUM_EXIT_ERRORS_Low_L_T, _M_ORIENT_ERROR_IN_Low_L_T, _M_POS_ERROR_IN_Low_L_T, _M_TCT_Low_L_L, _M_ORIENT_ERROR_Low_L_L, _M_POS_ERROR_Low_L_L, NUM_EXIT_ERRORS_Low_L_L, _M_ORIENT_ERROR_IN_Low_L_L, _M_POS_ERROR_IN_Low_L_L
100,HOMOGENEOUS,M_NONE,4,10.408,7.307,0.155,3,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.283,5.956,0.145,2,2.035,0.022,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.758,6.020,0.144,1,1.447,0.035,-1, -1, -1, -1, -1, -1, 3.367,10.050,0.176,0,2.453,0.019,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,NAVIFIELD,M_8,2,27.790,8.410,0.147,15,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.819,3.839,0.302,1,1.914,0.032,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5.661,4.261,0.119,4,3.068,0.036,-1, -1, -1, -1, -1, -1, 17.309,11.042,0.113,10,2.876,0.019,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,HOMOGENEOUS,M_8,2,33.603,26.581,1.614,16,-1, -1, -1, -1, -1, -1, 16.112,29.447,2.367,6,1.520,0.015,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5.105,3.563,0.314,2,1.625,0.036,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 12.387,32.305,1.168,8,8.190,0.029,
4,NAVIFIELD,M_2,2,19.629,16.408,0.330,8,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.628,4.461,0.236,3,3.602,0.033,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.952,4.114,0.156,3,2.631,0.025,-1, -1, -1, -1, -1, -1, 10.048,28.007,0.460,2,3.059,0.013,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,HOMOGENEOUS,M_2,2,24.590,25.917,0.362,15,-1, -1, -1, -1, -1, -1, 16.402,35.962,0.484,8,2.270,0.016,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.503,2.944,0.142,5,1.553,0.028,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.685,9.094,0.085,2,5.205,0.020,
4,NAVIFIELD,M_4,2,34.467,11.975,0.240,7,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 10.073,8.356,0.443,2,4.286,0.026,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 3.828,8.069,0.113,1,2.943,0.028,-1, -1, -1, -1, -1, -1, 20.566,14.473,0.165,4,2.556,0.013,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,HOMOGENEOUS,M_4,2,18.425,13.096,0.213,7,-1, -1, -1, -1, -1, -1, 7.395,15.485,0.340,3,2.802,0.012,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.097,5.290,0.162,2,1.313,0.020,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 6.933,15.173,0.108,2,3.960,0.029,
  30.008,77.823,1.873,0,NaN,NaN,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,HOMOGENEOUS,M_8,4,32.980,7.882,0.136,20,-1, -1, -1, -1, -1, -1, 23.036,8.149,0.133,14,1.907,0.019,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 5.517,4.233,0.173,5,0.986,0.033,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.427,11.039,0.105,1,4.279,0.034,
4,NAVIFIELD,M_2,4,23.450,7.858,0.184,7,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7.790,7.014,0.171,3,3.171,0.033,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.782,6.659,0.211,1,2.508,0.022,-1, -1, -1, -1, -1, -1, 10.878,8.985,0.182,3,2.024,0.015,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
4,HOMOGENEOUS,M_2,4,21.360,20.941,0.461,8,-1, -1, -1, -1, -1, -1, 12.449,31.463,0.686,4,3.538,0.014,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.510,3.166,0.191,3,1.480,0.034,-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 4.402,9.428,0.101,1,4.172,0.031,
