UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), EASY_TRAVEL, COMFORT_TRAVEL, EASY_MANEUVRE, COMFORT_MANEUVRE
4,NAVIFIELD,M_8,2,2,2,2,2,
4,HOMOGENEOUS,M_8,2,3,3,3,2,
4,NAVIFIELD,M_2,2,4,5,5,5,
4,HOMOGENEOUS,M_2,2,3,3,0,6,
4,NAVIFIELD,M_4,2,3,3,6,6,
4,HOMOGENEOUS,M_4,2,4,4,4,4,
4,NAVIFIELD,M_8,4,0,0,0,0,
4,HOMOGENEOUS,M_8,4,0,0,0,0,
4,NAVIFIELD,M_2,4,6,6,6,6,
4,HOMOGENEOUS,M_2,4,6,6,6,6,
4,NAVIFIELD,M_4,4,3,3,3,3,
4,HOMOGENEOUS,M_4,4,3,3,3,3,
4,HOMOGENEOUS,M_NONE,2,6,6,6,6,
4,HOMOGENEOUS,M_NONE,4,6,6,6,6,
