UserID, Technique, M_FACTOR, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _T_TCT,  _AVG_DEVIATION, _REAL_DIST_TRAVELLED, _VIRT_DIST_TRAVELLED
100,HOMOGENEOUS,M_NONE,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,27.705,0.483,7.375,7.375
4,NAVIFIELD,M_8,2,Path_NP1_2_B_Sym,0,5,1, -1, -1,2,8.839,0.543,2.176,24.684
4,HOMOGENEOUS,M_8,2,Path_NP1_2_A_Sym,0,5,3, -1, -1,5,9.414,0.919,1.708,27.775
4,NAVIFIELD,M_2,2,Path_NP2_1_B_Sym,0,4,3, -1, -1,0,3.867,0.291,1.580,5.898
4,HOMOGENEOUS,M_2,2,Path_NP2_1_B_Sym,0,4,3, -1, -1,0,8.062,0.841,2.733,12.398
4,NAVIFIELD,M_4,2,Path_NP1_2_A_Sym,0,5,3, -1, -1,3,39.574,1.483,2.251,15.576
4,HOMOGENEOUS,M_4,2,Path_NP1_2_A_Sym,0,5,3, -1, -1,3,5.088,0.634,1.520,12.410
4,NAVIFIELD,M_8,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,26.504,0.993,4.377,58.801
4,HOMOGENEOUS,M_8,4,Path_NP2_1_2_1_C_Sym,0,4,5,3,2,2,14.660,2.011,3.495,66.401
4,NAVIFIELD,M_2,4,Path_NP2_1_2_1_C_Sym,0,4,5,3,2,2,9.575,0.445,3.398,13.558
4,HOMOGENEOUS,M_2,4,Path_NP2_1_2_1_D_Sym,0,4,5,3,4,3,6.063,0.259,2.507,11.320
4,NAVIFIELD,M_4,4,Path_NP2_1_2_1_G_Sym,0,4,3,5,0,3,19.869,1.283,5.114,39.635
4,HOMOGENEOUS,M_4,4,Path_NP1_2_1_2_H_Sym,0,5,1,0,2,2,13.991,0.326,3.567,29.098
4,HOMOGENEOUS,M_NONE,2,Path_NP1_2_A,0,1,3, -1, -1,4,7.843,0.256,2.683,2.683
4,HOMOGENEOUS,M_NONE,4,Path_NP1_2_1_2_D_Sym,0,5,3,2,0,5,16.111,0.214,5.654,5.654
