UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.669,0.366,1.277,0.246,3.198,1.277,1.923,-1.000,0.390,17.451,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.679,0.370,1.274,0.245,3.210,1.274,1.922,-1.000,0.397,17.475,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.686,0.390,1.248,0.245,3.260,1.248,1.923,-1.000,0.436,21.069,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.692,0.384,1.257,0.245,3.245,1.257,1.922,-1.000,0.423,18.839,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.701,0.389,1.254,0.244,3.255,1.254,1.921,-1.000,0.430,18.576,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.708,0.393,1.251,0.243,3.265,1.251,1.920,-1.000,0.436,18.200,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.716,0.397,1.249,0.242,3.276,1.249,1.919,-1.000,0.443,17.312,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.725,0.402,1.247,0.242,3.286,1.247,1.917,-1.000,0.449,16.180,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.734,0.406,1.244,0.241,3.295,1.244,1.916,-1.000,0.455,15.999,
4,HOMOGENEOUS,M_4,4,0,TIGHT,COARSE,3.346,1.244,1.932,763.741,0.410,1.242,0.240,3.303,1.242,1.914,-1.000,0.460,17.044,
