UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.244,-0.830,1.445,-0.206,-0.830,1.445,-0.206,1.000,0.656,32.299,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.251,-0.830,1.445,-0.207,-0.830,1.445,-0.207,1.000,0.655,32.314,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.260,-0.830,1.444,-0.208,-0.830,1.444,-0.208,1.000,0.655,32.346,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.268,-0.831,1.444,-0.209,-0.831,1.444,-0.209,1.000,0.655,32.361,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.279,-0.831,1.444,-0.210,-0.831,1.444,-0.210,1.000,0.655,32.357,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.285,-0.831,1.444,-0.211,-0.831,1.444,-0.211,1.000,0.655,32.345,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.293,-0.831,1.443,-0.213,-0.831,1.443,-0.213,1.000,0.655,32.309,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.302,-0.831,1.443,-0.214,-0.831,1.443,-0.214,1.000,0.655,32.270,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.311,-0.832,1.443,-0.215,-0.832,1.443,-0.215,1.000,0.655,32.213,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.319,-0.832,1.443,-0.216,-0.832,1.443,-0.216,1.000,0.655,32.126,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.327,-0.832,1.443,-0.217,-0.832,1.443,-0.217,1.000,0.654,32.012,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.337,-0.832,1.442,-0.218,-0.832,1.442,-0.218,1.000,0.654,31.853,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.344,-0.832,1.442,-0.219,-0.832,1.442,-0.219,1.000,0.654,31.651,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.353,-0.832,1.442,-0.219,-0.832,1.442,-0.219,1.000,0.654,31.425,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.360,-0.832,1.442,-0.220,-0.832,1.442,-0.220,1.000,0.654,31.201,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.370,-0.832,1.442,-0.221,-0.832,1.442,-0.221,1.000,0.654,31.015,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.378,-0.832,1.442,-0.221,-0.832,1.442,-0.221,1.000,0.654,30.892,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.387,-0.832,1.442,-0.222,-0.832,1.442,-0.222,1.000,0.654,30.786,
4,HOMOGENEOUS,M_NONE,2,5,TIGHT,COARSE,-0.748,1.244,-0.432,810.394,-0.832,1.442,-0.222,-0.832,1.442,-0.222,1.000,0.654,30.709,
