UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.202,0.056,1.455,0.656,-0.023,1.455,7.703,0.908,0.502,5.710,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.214,0.056,1.454,0.657,-0.023,1.454,7.703,1.040,0.502,5.665,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.221,0.056,1.454,0.657,-0.023,1.454,7.704,0.996,0.502,5.637,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.229,0.056,1.453,0.658,-0.022,1.453,7.704,0.961,0.501,5.576,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.236,0.057,1.452,0.658,-0.022,1.452,7.705,0.922,0.501,5.531,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.243,0.057,1.452,0.659,-0.022,1.452,7.705,1.062,0.501,5.496,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.250,0.057,1.451,0.659,-0.022,1.451,7.706,1.004,0.501,5.456,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.257,0.057,1.450,0.660,-0.021,1.450,7.707,0.958,0.501,5.417,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.265,0.058,1.450,0.660,-0.021,1.450,7.707,0.926,0.500,5.380,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.274,0.058,1.449,0.661,-0.021,1.449,7.708,0.906,0.500,5.343,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.281,0.058,1.448,0.661,-0.021,1.448,7.708,1.033,0.500,5.294,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.290,0.058,1.447,0.662,-0.021,1.447,7.709,0.993,0.500,5.246,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.298,0.058,1.447,0.662,-0.021,1.447,7.709,0.967,0.499,5.162,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.307,0.058,1.446,0.663,-0.020,1.446,7.709,0.952,0.499,5.074,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.315,0.059,1.445,0.663,-0.020,1.445,7.710,0.955,0.499,4.964,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.324,0.059,1.445,0.663,-0.020,1.445,7.710,0.950,0.498,4.869,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.333,0.059,1.444,0.664,-0.020,1.444,7.710,0.945,0.498,4.772,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.340,0.059,1.443,0.664,-0.020,1.443,7.710,1.072,0.498,4.702,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.349,0.059,1.443,0.664,-0.020,1.443,7.711,1.012,0.497,4.676,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.357,0.059,1.442,0.665,-0.020,1.442,7.711,0.943,0.497,4.689,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.370,0.059,1.442,0.665,-0.020,1.442,7.711,0.921,0.497,4.714,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.378,0.059,1.441,0.665,-0.020,1.441,7.712,0.903,0.497,4.745,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.385,0.059,1.440,0.665,-0.020,1.440,7.712,0.842,0.496,4.774,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.391,0.059,1.440,0.666,-0.020,1.440,7.712,0.855,0.496,4.787,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.398,0.059,1.439,0.666,-0.020,1.439,7.712,0.816,0.496,4.801,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.407,0.059,1.439,0.666,-0.020,1.439,7.712,0.789,0.495,4.835,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.415,0.059,1.439,0.666,-0.020,1.439,7.712,0.816,0.495,4.921,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.424,0.059,1.438,0.666,-0.020,1.438,7.712,0.869,0.495,5.105,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.432,0.058,1.438,0.665,-0.021,1.438,7.712,0.867,0.494,5.403,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.441,0.058,1.438,0.665,-0.021,1.438,7.712,0.846,0.494,5.744,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.449,0.057,1.438,0.665,-0.022,1.438,7.711,0.839,0.494,6.264,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.465,0.056,1.438,0.664,-0.022,1.438,7.711,0.805,0.493,6.817,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.473,0.055,1.438,0.664,-0.023,1.438,7.711,0.785,0.493,7.370,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.479,0.054,1.438,0.663,-0.024,1.438,7.710,0.896,0.493,8.142,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.486,0.052,1.438,0.663,-0.026,1.438,7.710,0.869,0.492,8.965,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.493,0.051,1.438,0.662,-0.027,1.438,7.709,0.839,0.492,9.790,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.500,0.049,1.439,0.662,-0.028,1.439,7.709,0.796,0.492,10.873,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.508,0.047,1.439,0.661,-0.030,1.439,7.708,0.906,0.491,12.061,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.521,0.045,1.439,0.660,-0.031,1.439,7.707,0.861,0.491,13.077,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.527,0.043,1.440,0.659,-0.034,1.440,7.706,0.949,0.490,14.469,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.534,0.040,1.441,0.658,-0.036,1.441,7.705,0.877,0.490,15.950,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.541,0.038,1.441,0.657,-0.038,1.441,7.704,0.958,0.490,17.350,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.550,0.035,1.442,0.655,-0.040,1.442,7.703,0.881,0.490,18.902,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.557,0.033,1.443,0.654,-0.043,1.443,7.702,0.956,0.490,20.614,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.566,0.030,1.444,0.652,-0.046,1.444,7.700,0.847,0.489,22.263,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.574,0.027,1.445,0.651,-0.048,1.445,7.699,0.984,0.489,23.935,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.584,0.024,1.447,0.649,-0.052,1.447,7.697,1.062,0.489,25.700,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.591,0.021,1.448,0.648,-0.055,1.448,7.695,1.119,0.489,27.703,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.599,0.017,1.450,0.646,-0.058,1.450,7.694,1.012,0.489,29.488,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.607,0.014,1.451,0.645,-0.062,1.451,7.692,1.138,0.489,31.446,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.616,0.011,1.453,0.643,-0.066,1.453,7.690,1.217,0.489,33.377,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.626,0.008,1.455,0.642,-0.070,1.455,7.688,1.283,0.490,35.319,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.634,0.005,1.457,0.640,-0.074,1.457,7.686,1.176,0.490,37.104,
4,NAVIFIELD,M_8,4,5,TIGHT,COARSE,0.000,1.244,7.864,457.641,0.002,1.460,0.638,-0.078,1.460,7.684,1.339,0.490,38.995,
