UserID, Technique, M_FACTOR, M_FACTOR_applied, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _CUR_FLAG ,_TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_DEVIATION
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.008,0.044,1.407,0.704,0.044,1.407,0.704,1.000,0.001
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.018,0.045,1.407,0.705,0.045,1.407,0.705,1.000,0.002
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.025,0.045,1.406,0.706,0.045,1.406,0.706,1.000,0.002
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.034,0.045,1.406,0.707,0.045,1.406,0.707,1.000,0.003
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.042,0.046,1.405,0.708,0.046,1.405,0.708,1.000,0.004
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.050,0.046,1.405,0.709,0.046,1.405,0.709,1.000,0.005
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.059,0.047,1.405,0.710,0.047,1.405,0.710,1.000,0.006
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.066,0.047,1.404,0.711,0.047,1.404,0.711,1.000,0.006
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.076,0.047,1.404,0.712,0.047,1.404,0.712,1.000,0.007
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.083,0.047,1.404,0.712,0.047,1.404,0.712,1.000,0.008
100,HOMOGENEOUS,M_NONE,0,4,Path_NP1_2_1_2_A_Sym,0,5,3,4,0,3,2,0.092,0.048,1.404,0.713,0.048,1.404,0.713,1.000,0.009
