UserID, Technique, M_FACTOR, M_FACTOR_applied, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _CUR_FLAG ,_TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_DEVIATION
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.009,0.109,1.383,0.649,0.027,1.383,7.702,0.997,0.000
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.017,0.110,1.384,0.650,0.028,1.384,7.702,1.009,0.001
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.026,0.110,1.384,0.650,0.028,1.384,7.703,0.980,0.001
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.039,0.110,1.384,0.651,0.028,1.384,7.703,0.959,0.002
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.046,0.110,1.385,0.651,0.028,1.385,7.704,1.044,0.002
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.054,0.110,1.385,0.652,0.028,1.385,7.704,1.019,0.002
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.060,0.111,1.386,0.652,0.029,1.386,7.705,1.003,0.003
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.068,0.111,1.386,0.653,0.029,1.386,7.705,0.966,0.003
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.076,0.111,1.387,0.653,0.029,1.387,7.706,0.929,0.004
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.085,0.111,1.387,0.654,0.029,1.387,7.706,1.019,0.004
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.092,0.111,1.388,0.654,0.029,1.388,7.707,0.984,0.004
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.102,0.111,1.388,0.655,0.029,1.388,7.707,0.958,0.005
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.109,0.111,1.388,0.655,0.029,1.388,7.708,0.937,0.005
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.118,0.112,1.389,0.656,0.029,1.389,7.708,0.923,0.005
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.127,0.112,1.389,0.656,0.030,1.389,7.709,1.029,0.006
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.135,0.112,1.389,0.657,0.030,1.389,7.709,1.002,0.006
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.142,0.112,1.389,0.657,0.030,1.389,7.709,0.978,0.006
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.151,0.112,1.389,0.658,0.030,1.389,7.710,0.943,0.007
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.160,0.112,1.389,0.658,0.030,1.389,7.710,0.933,0.007
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.168,0.112,1.390,0.658,0.030,1.390,7.711,0.936,0.007
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.176,0.112,1.390,0.659,0.030,1.390,7.711,0.972,0.007
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.188,0.112,1.390,0.659,0.030,1.390,7.711,1.106,0.008
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.195,0.113,1.390,0.659,0.031,1.390,7.711,1.180,0.008
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.202,0.113,1.391,0.659,0.031,1.391,7.711,1.177,0.008
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.211,0.113,1.391,0.659,0.031,1.391,7.711,1.242,0.009
4,NAVIFIELD,M_8,0,4,Path_NP2_1_2_1_F,0,2,3,5,0,3,5,0.218,0.113,1.391,0.659,0.032,1.391,7.711,1.238,0.009
