UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.371,-0.600,1.533,-0.379,-0.600,1.533,-0.379,1.000,0.283,37.605,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.380,-0.603,1.533,-0.379,-0.603,1.533,-0.379,1.000,0.279,37.618,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.388,-0.606,1.534,-0.380,-0.606,1.534,-0.380,1.000,0.276,37.679,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.396,-0.610,1.534,-0.380,-0.610,1.534,-0.380,1.000,0.273,37.766,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.404,-0.613,1.535,-0.381,-0.613,1.535,-0.381,1.000,0.270,37.897,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.413,-0.616,1.535,-0.381,-0.616,1.535,-0.381,1.000,0.266,38.006,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.421,-0.619,1.535,-0.382,-0.619,1.535,-0.382,1.000,0.264,38.136,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.430,-0.622,1.536,-0.382,-0.622,1.536,-0.382,1.000,0.261,38.245,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.438,-0.624,1.536,-0.383,-0.624,1.536,-0.383,1.000,0.258,38.329,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.447,-0.627,1.536,-0.383,-0.627,1.536,-0.383,1.000,0.255,38.417,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.455,-0.629,1.536,-0.383,-0.629,1.536,-0.383,1.000,0.253,38.528,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.464,-0.632,1.536,-0.383,-0.632,1.536,-0.383,1.000,0.250,38.652,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.472,-0.634,1.536,-0.384,-0.634,1.536,-0.384,1.000,0.248,38.816,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.480,-0.637,1.536,-0.384,-0.637,1.536,-0.384,1.000,0.246,38.986,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.488,-0.639,1.536,-0.384,-0.639,1.536,-0.384,1.000,0.243,39.133,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.497,-0.641,1.536,-0.384,-0.641,1.536,-0.384,1.000,0.241,39.250,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.505,-0.643,1.536,-0.385,-0.643,1.536,-0.385,1.000,0.239,39.335,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.513,-0.646,1.537,-0.385,-0.646,1.537,-0.385,1.000,0.237,39.381,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.522,-0.647,1.537,-0.385,-0.647,1.537,-0.385,1.000,0.235,39.399,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.530,-0.649,1.537,-0.385,-0.649,1.537,-0.385,1.000,0.233,39.433,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.539,-0.651,1.537,-0.385,-0.651,1.537,-0.385,1.000,0.232,39.476,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.547,-0.652,1.537,-0.385,-0.652,1.537,-0.385,1.000,0.230,39.542,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.555,-0.654,1.537,-0.385,-0.654,1.537,-0.385,1.000,0.229,39.620,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.564,-0.655,1.538,-0.385,-0.655,1.538,-0.385,1.000,0.227,39.677,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.572,-0.657,1.538,-0.384,-0.657,1.538,-0.384,1.000,0.226,39.713,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.580,-0.658,1.538,-0.384,-0.658,1.538,-0.384,1.000,0.225,39.709,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.589,-0.659,1.539,-0.384,-0.659,1.539,-0.384,1.000,0.223,39.678,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.597,-0.660,1.540,-0.383,-0.660,1.540,-0.383,1.000,0.222,39.545,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.605,-0.661,1.540,-0.383,-0.661,1.540,-0.383,1.000,0.221,39.383,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.614,-0.662,1.541,-0.382,-0.662,1.541,-0.382,1.000,0.221,39.178,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.622,-0.662,1.542,-0.382,-0.662,1.542,-0.382,1.000,0.220,39.031,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.631,-0.663,1.542,-0.381,-0.663,1.542,-0.381,1.000,0.219,38.797,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.639,-0.663,1.543,-0.380,-0.663,1.543,-0.380,1.000,0.219,38.575,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.647,-0.663,1.544,-0.379,-0.663,1.544,-0.379,1.000,0.218,38.298,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.656,-0.664,1.545,-0.378,-0.664,1.545,-0.378,1.000,0.218,38.070,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.664,-0.664,1.546,-0.377,-0.664,1.546,-0.377,1.000,0.218,37.804,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.672,-0.664,1.547,-0.376,-0.664,1.547,-0.376,1.000,0.218,37.575,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.681,-0.663,1.549,-0.375,-0.663,1.549,-0.375,1.000,0.218,37.336,
0,HOMOGENEOUS,M_NONE,2,0,TIGHT,TIGHT,-1.224,1.395,-0.707,932.689,-0.663,1.550,-0.374,-0.663,1.550,-0.374,1.000,0.219,37.143,
