UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.108,-0.962,1.501,-0.458,-6.725,1.501,-3.784,1.000,0.258,26.394,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.117,-0.962,1.500,-0.460,-6.725,1.500,-3.786,1.000,0.258,26.604,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.126,-0.962,1.500,-0.461,-6.725,1.500,-3.787,1.000,0.257,26.831,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.133,-0.962,1.499,-0.463,-6.725,1.499,-3.789,1.000,0.257,27.026,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.142,-0.963,1.499,-0.464,-6.726,1.499,-3.790,1.000,0.256,27.217,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.151,-0.962,1.498,-0.466,-6.725,1.498,-3.792,1.000,0.256,27.412,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.159,-0.962,1.498,-0.467,-6.725,1.498,-3.793,1.000,0.256,27.602,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.167,-0.961,1.498,-0.468,-6.724,1.498,-3.794,1.000,0.256,27.806,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.175,-0.961,1.498,-0.469,-6.724,1.498,-3.795,1.000,0.256,28.022,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.184,-0.960,1.498,-0.470,-6.723,1.498,-3.796,1.000,0.256,28.265,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.192,-0.959,1.498,-0.471,-6.722,1.498,-3.797,1.000,0.256,28.510,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.205,-0.958,1.498,-0.472,-6.721,1.498,-3.798,1.000,0.256,28.730,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.209,-0.957,1.498,-0.473,-6.720,1.498,-3.799,1.000,0.257,28.949,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.217,-0.956,1.499,-0.474,-6.719,1.499,-3.800,1.000,0.257,29.141,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.225,-0.955,1.499,-0.475,-6.718,1.499,-3.801,1.000,0.258,29.321,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.234,-0.954,1.500,-0.476,-6.717,1.500,-3.802,1.000,0.258,29.457,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.243,-0.952,1.501,-0.476,-6.715,1.501,-3.802,1.000,0.259,29.521,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.251,-0.951,1.502,-0.477,-6.714,1.502,-3.803,1.000,0.260,29.542,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.259,-0.949,1.503,-0.478,-6.712,1.503,-3.804,1.000,0.260,29.564,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.268,-0.948,1.504,-0.478,-6.711,1.504,-3.805,1.000,0.261,29.554,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.276,-0.946,1.506,-0.479,-6.709,1.506,-3.805,1.000,0.262,29.473,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.284,-0.944,1.508,-0.479,-6.707,1.508,-3.806,1.000,0.263,29.472,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.292,-0.942,1.509,-0.480,-6.705,1.509,-3.806,1.000,0.264,29.458,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.301,-0.940,1.511,-0.480,-6.703,1.511,-3.807,1.000,0.266,29.378,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.309,-0.937,1.513,-0.481,-6.700,1.513,-3.807,1.000,0.267,29.357,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.317,-0.935,1.515,-0.481,-6.698,1.515,-3.807,1.001,0.268,29.372,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.326,-0.932,1.517,-0.482,-6.695,1.517,-3.808,1.010,0.270,29.402,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.334,-0.930,1.519,-0.482,-6.692,1.519,-3.808,1.020,0.272,29.487,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.343,-0.927,1.521,-0.482,-6.689,1.521,-3.808,1.030,0.274,29.638,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.354,-0.923,1.523,-0.482,-6.686,1.523,-3.809,1.042,0.277,29.878,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.359,-0.920,1.525,-0.483,-6.683,1.525,-3.809,1.055,0.279,30.212,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.368,-0.917,1.527,-0.483,-6.679,1.527,-3.809,1.068,0.282,30.593,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.376,-0.913,1.529,-0.483,-6.675,1.529,-3.810,1.084,0.285,31.113,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.384,-0.909,1.531,-0.484,-6.671,1.531,-3.810,1.099,0.289,31.622,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.393,-0.905,1.533,-0.484,-6.666,1.533,-3.810,1.117,0.293,32.245,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.401,-0.900,1.536,-0.484,-6.661,1.536,-3.810,1.137,0.297,32.909,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.409,-0.896,1.538,-0.484,-6.656,1.538,-3.810,1.156,0.301,33.586,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.418,-0.892,1.541,-0.484,-6.651,1.541,-3.810,1.177,0.306,34.319,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.426,-0.887,1.543,-0.484,-6.645,1.543,-3.811,1.200,0.311,35.154,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.434,-0.882,1.546,-0.484,-6.639,1.546,-3.811,1.223,0.316,36.089,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.443,-0.877,1.549,-0.485,-6.633,1.549,-3.811,1.248,0.321,37.125,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.451,-0.871,1.551,-0.485,-6.625,1.551,-3.812,1.276,0.328,38.474,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.461,-0.865,1.554,-0.485,-6.618,1.554,-3.812,1.308,0.335,39.960,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.468,-0.859,1.557,-0.485,-6.610,1.557,-3.812,1.340,0.342,41.457,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.476,-0.853,1.559,-0.485,-6.601,1.559,-3.812,1.376,0.351,43.201,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.485,-0.846,1.562,-0.485,-6.592,1.562,-3.812,1.415,0.359,44.979,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.494,-0.840,1.564,-0.485,-6.582,1.564,-3.811,1.457,0.369,46.910,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.504,-0.833,1.567,-0.485,-6.571,1.567,-3.811,1.502,0.379,48.911,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.510,-0.826,1.569,-0.484,-6.561,1.569,-3.810,1.549,0.389,50.973,
0,NAVIFIELD,M_8,2,0,TIGHT,TIGHT,-7.286,1.395,-4.207,431.518,-0.819,1.572,-0.484,-6.549,1.572,-3.809,1.600,0.401,53.226,
