UserID, Technique, M_FACTOR, TRAVEL_PATH_LENGHT(2/4), PARAF_POSITION(0-5), HEAD, TAIL, PARAF_X, PARAF_Y, PARAF_Z, _TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_ANGLE_ERROR, _CUR_POS_ERROR
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,399.965,0.020,1.195,-0.438,0.051,1.195,-3.714,-1.000,0.412,44.358,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,399.972,0.021,1.194,-0.440,0.052,1.194,-3.720,-1.000,0.417,45.486,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,399.980,0.023,1.191,-0.452,0.056,1.191,-3.750,-1.000,0.443,53.017,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,399.988,0.022,1.191,-0.448,0.054,1.191,-3.740,-1.000,0.434,50.285,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,399.996,0.023,1.191,-0.450,0.055,1.191,-3.745,-1.000,0.439,51.663,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.005,0.023,1.190,-0.452,0.055,1.190,-3.750,-1.000,0.443,53.096,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.012,0.023,1.189,-0.454,0.056,1.189,-3.755,-1.000,0.447,54.470,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.021,0.024,1.188,-0.456,0.056,1.188,-3.759,-1.000,0.451,55.877,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.029,0.024,1.188,-0.458,0.057,1.188,-3.764,-1.000,0.455,57.332,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.038,0.024,1.187,-0.460,0.057,1.187,-3.768,-1.000,0.459,58.807,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.046,0.024,1.186,-0.462,0.057,1.186,-3.772,-1.000,0.463,60.305,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.055,0.024,1.186,-0.463,0.057,1.186,-3.776,-1.000,0.466,61.832,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.063,0.025,1.185,-0.465,0.057,1.185,-3.781,-1.000,0.470,63.390,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.073,0.025,1.184,-0.467,0.057,1.184,-3.785,-1.000,0.474,65.032,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.079,0.025,1.184,-0.469,0.057,1.184,-3.788,-1.000,0.477,66.545,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.088,0.025,1.183,-0.470,0.057,1.183,-3.792,-1.000,0.480,68.114,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.096,0.025,1.182,-0.472,0.057,1.182,-3.795,-1.000,0.483,69.653,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.104,0.025,1.182,-0.473,0.057,1.182,-3.798,-1.000,0.486,71.183,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.113,0.025,1.181,-0.474,0.057,1.181,-3.801,-1.000,0.488,72.733,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.121,0.025,1.181,-0.475,0.057,1.181,-3.804,-1.000,0.491,74.178,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.130,0.025,1.180,-0.476,0.057,1.180,-3.806,-1.000,0.493,75.426,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.140,0.025,1.180,-0.477,0.058,1.180,-3.808,-1.000,0.495,76.678,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.150,0.026,1.179,-0.478,0.058,1.179,-3.809,-1.000,0.496,77.663,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.159,0.026,1.178,-0.479,0.058,1.178,-3.811,-1.000,0.498,78.840,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.168,0.026,1.178,-0.479,0.058,1.178,-3.812,-1.000,0.499,79.662,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.177,0.026,1.178,-0.480,0.058,1.178,-3.813,-1.000,0.500,80.359,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.184,0.026,1.177,-0.480,0.058,1.177,-3.813,-1.000,0.500,80.856,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.193,0.025,1.177,-0.479,0.058,1.177,-3.812,-1.000,0.499,80.293,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.202,0.025,1.177,-0.479,0.057,1.177,-3.812,-1.000,0.499,80.710,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.210,0.025,1.176,-0.480,0.057,1.176,-3.813,-1.000,0.500,81.149,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.217,0.025,1.176,-0.480,0.056,1.176,-3.814,-1.000,0.501,82.120,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.223,0.025,1.176,-0.480,0.056,1.176,-3.812,-1.000,0.500,81.491,
4,HOMOGENEOUS,M_4,2,0,TIGHT,COARSE,0.000,1.244,-3.864,400.229,0.024,1.176,-0.479,0.055,1.176,-3.812,-1.000,0.499,81.512,
