UserID, Technique, M_FACTOR, M_FACTOR_applied, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _CUR_FLAG ,_TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_DEVIATION
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.008,-0.026,1.525,0.888,-0.038,1.525,3.707,4.000,0.004
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.018,-0.025,1.524,0.889,-0.036,1.524,3.711,4.000,0.009
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.025,-0.025,1.524,0.890,-0.034,1.524,3.715,4.000,0.013
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.033,-0.024,1.524,0.890,-0.032,1.524,3.719,4.000,0.017
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.042,-0.024,1.524,0.891,-0.031,1.524,3.723,4.000,0.021
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.051,-0.023,1.523,0.892,-0.029,1.523,3.726,4.000,0.025
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.059,-0.023,1.523,0.893,-0.027,1.523,3.729,4.000,0.028
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.071,-0.023,1.522,0.894,-0.025,1.522,3.732,4.000,0.032
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.077,-0.022,1.522,0.895,-0.024,1.522,3.736,4.000,0.036
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.084,-0.022,1.521,0.895,-0.022,1.521,3.739,4.000,0.039
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.092,-0.021,1.521,0.896,-0.020,1.521,3.742,4.000,0.043
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.100,-0.021,1.520,0.897,-0.019,1.520,3.746,4.000,0.047
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.109,-0.021,1.520,0.898,-0.017,1.520,3.749,4.000,0.051
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.117,-0.020,1.519,0.899,-0.016,1.519,3.753,4.000,0.054
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.126,-0.020,1.519,0.900,-0.015,1.519,3.756,4.000,0.058
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.134,-0.020,1.518,0.901,-0.013,1.518,3.759,4.000,0.062
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.142,-0.019,1.518,0.901,-0.012,1.518,3.763,4.000,0.065
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.151,-0.019,1.517,0.902,-0.011,1.517,3.766,4.000,0.069
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.159,-0.019,1.516,0.903,-0.009,1.516,3.769,4.000,0.072
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.167,-0.018,1.516,0.904,-0.008,1.516,3.773,4.000,0.076
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.176,-0.018,1.515,0.905,-0.008,1.515,3.776,4.000,0.079
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.184,-0.018,1.515,0.906,-0.007,1.515,3.779,4.000,0.082
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.193,-0.018,1.514,0.906,-0.006,1.514,3.782,4.000,0.085
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.201,-0.017,1.514,0.907,-0.005,1.514,3.785,4.000,0.088
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.209,-0.017,1.513,0.908,-0.004,1.513,3.788,4.000,0.091
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.220,-0.017,1.513,0.909,-0.004,1.513,3.791,4.000,0.094
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.226,-0.017,1.513,0.909,-0.003,1.513,3.794,4.000,0.097
0,HOMOGENEOUS,M_4,0,2,Path_NP1_2_B,0,1,5, -1, -1,3,4,0.234,-0.017,1.512,0.910,-0.002,1.512,3.796,4.000,0.100
