UserID, Technique, M_FACTOR, M_FACTOR_applied, PATH_LENGTH, PATH_ID, FLAG1, FLAG2, FLAG3, FLAG4, FLAG5, RANDOM_F_OFFSET, _CUR_FLAG ,_TIME,  _R_HEAD_X, _R_HEAD_Y, _R_HEAD_Z, _V_HEAD_X, _V_HEAD_Y, _V_HEAD_Z, _CUR_M_FACTOR, _CUR_DEVIATION
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.008,-0.638,1.518,0.316,-0.638,1.518,0.316,1.000,0.002
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.017,-0.641,1.517,0.319,-0.641,1.517,0.319,1.000,0.004
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.025,-0.644,1.516,0.321,-0.644,1.516,0.321,1.000,0.005
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.033,-0.647,1.516,0.324,-0.647,1.516,0.324,1.000,0.007
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.042,-0.650,1.515,0.326,-0.650,1.515,0.326,1.000,0.008
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.050,-0.653,1.514,0.328,-0.653,1.514,0.328,1.000,0.010
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.059,-0.655,1.513,0.330,-0.655,1.513,0.330,1.000,0.011
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.067,-0.658,1.512,0.332,-0.658,1.512,0.332,1.000,0.013
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.075,-0.660,1.511,0.334,-0.660,1.511,0.334,1.000,0.014
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.084,-0.663,1.511,0.335,-0.663,1.511,0.335,1.000,0.016
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.093,-0.665,1.510,0.337,-0.665,1.510,0.337,1.000,0.017
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.101,-0.667,1.510,0.338,-0.667,1.510,0.338,1.000,0.019
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.109,-0.669,1.509,0.339,-0.669,1.509,0.339,1.000,0.020
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.117,-0.671,1.508,0.340,-0.671,1.508,0.340,1.000,0.022
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.126,-0.673,1.508,0.340,-0.673,1.508,0.340,1.000,0.023
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.134,-0.675,1.507,0.341,-0.675,1.507,0.341,1.000,0.024
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.142,-0.676,1.507,0.341,-0.676,1.507,0.341,1.000,0.025
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.151,-0.678,1.507,0.342,-0.678,1.507,0.342,1.000,0.027
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.159,-0.679,1.507,0.342,-0.679,1.507,0.342,1.000,0.028
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.167,-0.681,1.506,0.342,-0.681,1.506,0.342,1.000,0.029
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.176,-0.682,1.506,0.341,-0.682,1.506,0.341,1.000,0.031
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.184,-0.683,1.506,0.341,-0.683,1.506,0.341,1.000,0.032
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.193,-0.684,1.506,0.340,-0.684,1.506,0.340,1.000,0.033
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.201,-0.685,1.507,0.339,-0.685,1.507,0.339,1.000,0.035
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.209,-0.686,1.507,0.338,-0.686,1.507,0.338,1.000,0.036
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.217,-0.688,1.507,0.337,-0.688,1.507,0.337,1.000,0.038
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.226,-0.688,1.508,0.335,-0.688,1.508,0.335,1.000,0.039
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.234,-0.689,1.508,0.333,-0.689,1.508,0.333,1.000,0.041
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.242,-0.690,1.509,0.331,-0.690,1.509,0.331,1.000,0.043
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.251,-0.691,1.509,0.329,-0.691,1.509,0.329,1.000,0.044
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.259,-0.692,1.510,0.327,-0.692,1.510,0.327,1.000,0.046
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.268,-0.692,1.511,0.324,-0.692,1.511,0.324,1.000,0.048
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.276,-0.693,1.512,0.321,-0.693,1.512,0.321,1.000,0.049
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.285,-0.693,1.513,0.317,-0.693,1.513,0.317,1.000,0.051
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.293,-0.693,1.514,0.314,-0.693,1.514,0.314,1.000,0.052
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.302,-0.693,1.515,0.310,-0.693,1.515,0.310,1.000,0.054
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.310,-0.693,1.516,0.307,-0.693,1.516,0.307,1.000,0.056
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.318,-0.693,1.517,0.303,-0.693,1.517,0.303,1.000,0.057
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.326,-0.692,1.518,0.298,-0.692,1.518,0.298,1.000,0.059
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.335,-0.692,1.519,0.294,-0.692,1.519,0.294,1.000,0.060
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.343,-0.691,1.520,0.290,-0.691,1.520,0.290,1.000,0.062
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.351,-0.690,1.521,0.285,-0.690,1.521,0.285,1.000,0.063
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.360,-0.689,1.522,0.280,-0.689,1.522,0.280,1.000,0.064
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.368,-0.688,1.523,0.275,-0.688,1.523,0.275,1.000,0.065
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.377,-0.687,1.524,0.270,-0.687,1.524,0.270,1.000,0.066
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.385,-0.685,1.525,0.265,-0.685,1.525,0.265,1.000,0.067
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.393,-0.684,1.527,0.260,-0.684,1.527,0.260,1.000,0.068
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.402,-0.682,1.528,0.254,-0.682,1.528,0.254,1.000,0.069
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.410,-0.680,1.529,0.249,-0.680,1.529,0.249,1.000,0.069
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.418,-0.678,1.530,0.243,-0.678,1.530,0.243,1.000,0.070
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.427,-0.676,1.532,0.237,-0.676,1.532,0.237,1.000,0.071
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.435,-0.674,1.533,0.231,-0.674,1.533,0.231,1.000,0.071
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.444,-0.671,1.534,0.225,-0.671,1.534,0.225,1.000,0.072
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.452,-0.669,1.535,0.219,-0.669,1.535,0.219,1.000,0.072
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.460,-0.666,1.537,0.213,-0.666,1.537,0.213,1.000,0.072
0,HOMOGENEOUS,M_NONE,0,2,Path_NP2_1_A_Sym,0,4,5, -1, -1,2,0,0.469,-0.663,1.538,0.206,-0.663,1.538,0.206,1.000,0.072
